MainData[UniqueID],MainData[RenewalYearMonth],MainData[Shoppers],MainData[Switchers],MainData[PreRenewalCompany],MainData[SurveyYearMonth],MainData[CurrentCompany],MainData[Renewal premium change],MainData[How much higher],MainData[How much lower],MainData[Gender],MainData[Region],MainData[Are you insured],MainData[Claimants],MainData[Did you use a PCW for shopping],MainData[StartedDateTime],MainData[Age Group],MainData[Employment status],MainData[Renewal  premium change combined],MainData[SortOrder],MainData[Retained],[SumSortOrder],[SumRenewal_premium_lower_value],[SumRenewal_premium_higher_value]
40191,202504,Shoppers,Non-switcher,Aviva,202504,Aviva,Higher,£10 or less a year,,Male,London,Yes,Claimant,Yes,15/04/2025 13:13,65+,Retired,Higher by £10 or less a year,14,Retained,14,,5.5
40293,202502,Shoppers,Switcher,Hastings,202504,Allianz,Lower,,£51 to £75 a year,Female,North East & Yorkshire,Yes,Non-Claimant,Yes,15/04/2025 17:03,25-34,Part time employed,Lower by £51 to £75 a year,7,Switcher,7,63,
40302,202501,Shoppers,Non-switcher,Vavista,202504,Vavista,Higher,Over £350 a year,,Female,North East & Yorkshire,Yes,Non-Claimant,Yes,15/04/2025 17:18,25-34,Part time employed,Higher by Over £350 a year,25,Retained,25,,400.5
40371,202501,Shoppers,Switcher,Ageas,202504,Allianz,Higher,£126 to £150 a year,,Male,Midlands,Yes,Non-Claimant,Yes,15/04/2025 19:16,45-54,Full time employed,Higher by £126 to £150 a year,22,Switcher,22,,138
40386,202501,Shoppers,Non-switcher,Aviva,202504,Aviva,Higher,£21 to £30 a year,,Male,South East,Yes,Non-Claimant,Yes,15/04/2025 19:38,45-54,Part time employed,Higher by £21 to £30 a year,16,Retained,16,,25.5
40395,202502,Non-shoppers,Switcher,Admiral,202504,Hastings,Lower,,£10 or less a year,Female,North East & Yorkshire,Yes,Claimant,,15/04/2025 19:45,18-24,Full time employed,Lower by £10 or less a year,12,Switcher,12,5.5,
40494,202504,Non-shoppers,Non-switcher,Direct Line,202504,Direct Line,Lower,,£21 to £30 a year,Male,South East,Yes,Non-Claimant,,15/04/2025 22:10,55-64,Part time employed,Lower by £21 to £30 a year,10,Retained,10,25.5,
40503,202501,Shoppers,Non-switcher,Aviva,202504,Aviva,Higher,£126 to £150 a year,,Female,Midlands,Yes,Claimant,Yes,15/04/2025 22:17,25-34,Full time employed,Higher by £126 to £150 a year,22,Retained,22,,138
40542,202501,Non-shoppers,Non-switcher,Aviva,202504,Aviva,Higher,£251 to £350 a year,,Male,North East & Yorkshire,Yes,Non-Claimant,,15/04/2025 22:59,35-44,Full time employed,Higher by £251 to £350 a year,24,Retained,24,,300.5
40659,202501,Shoppers,Non-switcher,Aviva,202504,Aviva,Lower,,£101 to £125 a year,Male,North West,Yes,Non-Claimant,Yes,16/04/2025 06:32,25-34,Full time employed,Lower by £101 to £125 a year,5,Retained,5,113,
40677,202502,Shoppers,Non-switcher,Aviva,202504,Aviva,Higher,£51 to £75 a year,,Male,North West,Yes,Claimant,Yes,16/04/2025 06:50,25-34,Full time employed,Higher by £51 to £75 a year,19,Retained,19,,63
40725,202502,Shoppers,Switcher,Hastings,202504,RAC,Lower,,£151 to £250 a year,Male,East Anglia,Yes,Claimant,Yes,16/04/2025 07:14,55-64,Retired,Lower by £151 to £250 a year,3,Switcher,3,200.5,
